# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jan 07 12:41:12 MST 2024 [seed=1704656285705]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-11579.60489833663	-18.236335162241037	-11561.36856317439	1.0259305338294027	5.14196024088785	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-11561.36856317439	0.0	-18.162734597554657
1000	-8383.662682676502	-22.699517570900056	-8360.963165105602	0.34320727123965333	2.812881549837256	0.9433865230028179	2.0	0.24065959828433703	0.2582624146828321	0.2390147155110098	0.262063271521821	1.0	1.0	-8360.963165105602	0.0	-22.68419620000756
2000	-7940.990735161095	-20.36513211279655	-7920.625603048298	0.2605998948389411	2.5579999745529434	1.059057770014261	1.8020645854556963	0.25008114598597403	0.2500952916806932	0.2359312105143928	0.26389235181893994	1.0	1.0	-7920.625603048298	0.0	-20.314424536187477
3000	-7833.387732377357	-20.128430054670417	-7813.259302322686	0.2608665762989058	2.5947487770460733	0.7883818899273746	1.9406280010119765	0.26310691752027643	0.24253376092977857	0.20817716020076982	0.2861821613491751	1.0	1.0	-7813.259302322686	0.0	-20.316528910384452
4000	-7773.057501899437	-18.81408915414253	-7754.243412745294	0.2614023819379441	2.5304436609708927	0.8267658265341951	1.902579139307562	0.2711838499412127	0.2450603911049039	0.18700155802416277	0.2967542009297206	1.0	1.0	-7754.243412745294	0.0	-18.970054295442612
5000	-7755.903086468806	-19.498587891885272	-7736.404498576921	0.284131093605382	2.6432575464181705	0.898833813692349	2.008075255238865	0.2739764009125939	0.24803208474258553	0.17587555704461227	0.3021159573002083	1.0	1.0	-7736.404498576921	0.0	-19.52840108783749
6000	-7728.240279188595	-21.686930444625112	-7706.55334874397	0.26737868102586215	2.57861222425162	0.5287798882788003	1.9650809713994408	0.2714616245960514	0.2444925362323564	0.15388285786521913	0.33016298130637306	1.0	1.0	-7706.55334874397	0.0	-22.264568268832534
7000	-7720.105696826188	-17.795454047458136	-7702.31024277873	0.2701717130753291	2.5520753954952218	0.7992023353833947	1.8684267358871816	0.2845425586177176	0.25333232379696785	0.1259864439679622	0.33613867361735233	1.0	1.0	-7702.31024277873	0.0	-17.999199021851805
8000	-7722.337552163635	-15.298236773200355	-7707.039315390435	0.24839454283244242	2.2845535642232866	0.7403221206366036	2.1262518627838998	0.26735709684271675	0.2654264178879836	0.13150146002015195	0.33571502524914765	1.0	1.0	-7707.039315390435	0.0	-15.474914939885366
9000	-7725.489748665718	-20.037473967180656	-7705.452274698538	0.26032948770364533	2.5112698490394587	1.1382195140330598	2.034150382406374	0.25748337749452377	0.2805130942955702	0.12178172576921154	0.34022180244069444	1.0	1.0	-7705.452274698538	0.0	-19.820710428436914
10000	-7724.553420596616	-19.496949765402803	-7705.056470831213	0.2575340108064428	2.608121705513551	0.7531803102474105	1.8984200890918725	0.2618128284680389	0.2764571577954196	0.12075949451320331	0.34097051922333815	1.0	1.0	-7705.056470831213	0.0	-19.747818902427507
11000	-7712.274339804987	-19.678070846366847	-7692.59626895862	0.27252199066474303	2.583841289967182	0.9018296165992438	1.893816020084103	0.2464412814766491	0.26373299809870526	0.11329121652888063	0.3765345038957649	1.0	1.0	-7692.59626895862	0.0	-19.750687441986848
12000	-7705.969524383057	-20.827398787295504	-7685.142125595762	0.25647585824986047	2.5326657895242985	1.2230028843985554	2.0582731551100473	0.24516736323210975	0.26373299809870526	0.11984309928112782	0.37125653938805714	1.0	1.0	-7685.142125595762	0.0	-20.529145114399395
13000	-7706.556285503933	-18.743975205709113	-7687.8123102982245	0.25494072668766565	2.4800598699942813	0.8129309672908153	2.0838452391566986	0.24756044610229	0.24762709276890862	0.12034533769804978	0.3844671234307516	1.0	1.0	-7687.8123102982245	0.0	-18.843941457847887
14000	-7703.555243780762	-19.42835595208669	-7684.1268878286755	0.24378770004482703	2.5233966935737984	0.9694083221536798	2.0838452391566986	0.23383332591672032	0.24582039960353239	0.11744705458379094	0.40289921989595634	1.0	1.0	-7684.1268878286755	0.0	-19.3522824908622
15000	-7705.18314060685	-20.674424859556765	-7684.5087157472935	0.2623896012643546	2.6006995771477324	0.6362380853273074	2.1121258514900565	0.23383332591672032	0.2408614103132342	0.12643175615085883	0.3988735076191867	1.0	1.0	-7684.5087157472935	0.0	-21.00821922139446
16000	-7707.007865655072	-18.68043102736954	-7688.327434627703	0.260214232935048	2.4887052689633373	0.8692642405030419	2.060319149068797	0.22717317317363184	0.24283449989394462	0.13278684333940055	0.3972054835930231	1.0	1.0	-7688.327434627703	0.0	-18.722777694038744
